Title,Authors,DOI,DOI link,Venue,Citation count,Year,Abstract summary
Correlations of National Teacher Examination Core Battery Scores and College Grade Point Average with Teaching Effectiveness of First-Year Teachers,"Donald Moore, K. Schurr, L. Henriksen",10.1177/001316449105100422,https://doi.org/10.1177/001316449105100422,-,14,1991,College GPA is a better predictor of first-year teacher effectiveness than national teacher exam scores.
Predicting Teacher Effectiveness Based on Various Preservice Factors: Implications for Higher Education and the Evaluation of Teacher Preparation,"J. McConnell, Benita G. Bruster, V. Smith",10.1177/1056787918824204,https://doi.org/10.1177/1056787918824204,International Journal of Educational Reform,2,2019,"Teacher GPA did not significantly predict teacher effectiveness, but graduate students were more likely to have higher effectiveness scores than undergraduates."
College GPA as a Predictor of Teacher Competency: A New Look at an Old Question,"T. James, Wayne Dumas",10.1080/00220973.1976.11011549,https://doi.org/10.1080/00220973.1976.11011549,-,4,1976,"College GPA is related to teacher competency ratings, with the relationship being stronger for those with lower GPAs."
True Grit: Trait-Level Perseverance and Passion for Long-Term Goals Predicts Effectiveness and Retention among Novice Teachers,"Claire Robertson-Kraft, A. Duckworth",10.1177/016146811411600306,https://doi.org/10.1177/016146811411600306,Teachers College Record,391,2014,"The paper does not address the impact of teachers' college GPA on their effectiveness, but instead finds that teacher grit, not other factors like GPA, predicts effectiveness and retention."
Predicting Teacher Performance With Test Scores and Grade Point Average: A Meta-Analysis,"J. D'agostino, S. Powers",10.3102/0002831208323280,https://doi.org/10.3102/0002831208323280,-,129,2009,"Teachers' performance in preparation programs, as measured by GPA, is a better predictor of teaching competence than test scores."
Raising the Bar or Locking the Door? The Effects of Increasing GPA Admission Requirements on Teacher Preparation,"J. V. Van Overschelde, M. López",10.1080/10665684.2018.1539355,https://doi.org/10.1080/10665684.2018.1539355,Equity & Excellence in Education,8,2018,Increasing GPA admission requirements for teacher preparation programs does not consistently improve teacher effectiveness and may negatively impact diversity.
Placed for Success: Which Teachers Benefit from High-Quality Student Teaching Placements?,"Kevin C. Bastian, Kristina M. Patterson, Dale Carpenter",10.1177/0895904820951126,https://doi.org/10.1177/0895904820951126,Educational Policy,19,2020,High-quality student teaching placements can benefit pre-service teachers with lower GPAs and narrow effectiveness gaps between teachers with lower and higher GPAs.
Teacher education admission criteria as measure of preparedness for teaching,"C. Casey, R. Childs",-,-,-,42,2011,"Entering GPA predicts only a small portion of variance in teacher candidates' preparedness, while a written profile is not significantly related."
The Board of Regents of the University of Wisconsin System The Determinants of Undergraduate Grade Point Average : The Relative Importance of Family,"Betts, D. Morell",-,-,-,5,2007,"This paper examines factors that influence undergraduate GPA, but does not address the impact of teachers' college GPA on their effectiveness."
College Grade Point Average as a Predictor of Adult Success: A Meta-Analytic Review and Some Additional Evidence,Robert D. Bretz,10.1177/009102608901800102,https://doi.org/10.1177/009102608901800102,-,71,1989,"College GPA has a weak relationship with teacher effectiveness, and other predictors of success are more significant."
