Title,Authors,DOI,DOI link,Venue,Citation count,Year,Abstract summary
Teaching Efficacy among College Student-Teachers of Diverse Background,"Syed Mohammad, S. Abdullah, A. Z. Khairani",-,-,-,8,2011,"College student-teachers' teaching efficacy is not correlated with their GPA, but rather with their prior qualification."
Predicting Teacher Performance With Test Scores and Grade Point Average: A Meta-Analysis,"J. D'agostino, S. Powers",10.3102/0002831208323280,https://doi.org/10.3102/0002831208323280,-,129,2009,"Teachers' performance in preparation programs, as measured by GPA, is a better predictor of teaching competence than test scores."
College GPA as a Predictor of Teacher Competency: A New Look at an Old Question,"T. James, Wayne Dumas",10.1080/00220973.1976.11011549,https://doi.org/10.1080/00220973.1976.11011549,-,4,1976,"College GPA is related to teacher competency ratings, with the relationship being stronger for those with lower GPAs."
An Analysis of URM STEM Students' GPAs Relative to Good Teaching Practices,"Amanda L. Mollet, Joshua M. Holmes, Jodi L. Linley",10.1615/jwomenminorscieneng.2021033546,https://doi.org/10.1615/jwomenminorscieneng.2021033546,Journal of Women and Minorities in Science and Engineering,1,2021,"The paper examines the relationship between effective teaching practices and college GPAs of underrepresented minority STEM students, but does not address how teachers' college GPA impacts their own teaching practices."
Discontinued knowledge growth: on the development of teachers’ general pedagogical knowledge at the transition from higher education into teaching practice,"J. König, Rudy Ligtvoet, Stefan Klemenz, Martin Rothland",10.1080/13540602.2024.2308895,https://doi.org/10.1080/13540602.2024.2308895,Teachers and Teaching: theory and practice,4,2024,Teachers with higher GPAs are less affected by the discontinuation of pedagogical knowledge growth when transitioning from higher education to teaching practice.
Raising the Bar or Locking the Door? The Effects of Increasing GPA Admission Requirements on Teacher Preparation,"J. V. Van Overschelde, M. López",10.1080/10665684.2018.1539355,https://doi.org/10.1080/10665684.2018.1539355,Equity & Excellence in Education,8,2018,Increasing GPA admission requirements for teacher preparation programs does not consistently improve teaching outcomes and may negatively impact diversity.
Correlations of National Teacher Examination Core Battery Scores and College Grade Point Average with Teaching Effectiveness of First-Year Teachers,"Donald Moore, K. Schurr, L. Henriksen",10.1177/001316449105100422,https://doi.org/10.1177/001316449105100422,-,14,1991,College GPA has a higher correlation with first-year teacher effectiveness than national teacher exam scores.
Teacher education admission criteria as measure of preparedness for teaching,"C. Casey, R. Childs",-,-,-,42,2011,"Entering GPA predicts only a small portion of variance in teacher candidates' preparedness for teaching, while a written profile is not significantly related."
Potential predictors of student teaching performance: Considering emotional intelligence,"P. Hall, J. West",-,-,-,32,2011,"College GPA and Praxis exam scores predict student teaching performance, but emotional intelligence does not."
"The Contribution of Grade Point Average (GPA), Microteching Practice Achievement and Motivation to be a Teacher on the Students’ Teaching Practicum Achievement","M. S. Masyhud, Zakiyah Tasnim, M. A. Latif",10.22259/ijrhss.0404005,https://doi.org/10.22259/ijrhss.0404005,-,4,2017,"The paper does not directly address how teachers' college GPA impacts teaching practices, but rather examines factors that contribute to students' teaching practicum achievement."
Should standardized testing define our profession?,"Lisa Borden-King, Warren Gamas, Kathy Hintz, Chelsie Hultz",10.1177/0031721720909586,https://doi.org/10.1177/0031721720909586,-,3,2020,There is no correlation between teachers' college GPA or standardized test scores and their teaching performance.
College Grade Point Average as a Predictor of Adult Success: A Meta-Analytic Review and Some Additional Evidence,Robert D. Bretz,10.1177/009102608901800102,https://doi.org/10.1177/009102608901800102,-,71,1989,"College GPA has a weak relationship with future success, including in teaching, and is not recommended as a strong predictor."
The Board of Regents of the University of Wisconsin System The Determinants of Undergraduate Grade Point Average : The Relative Importance of Family,"Betts, D. Morell",-,-,-,5,2007,"This paper examines factors that influence undergraduate GPA, but does not address how teachers' college GPA impacts their teaching practices."
