Tables Study;Tables Level;Tables Type;Tables Experience;subjects 1;subjects 2;subjects 3;subjects 4;subjects 5;relation 1;relation 2;relation 3;relation 4;relation 5;relation 6;relation 7;relation 8;relation 9;relation 10;relation 11;eff 1;eff 2;eff 3;eff 4
Published;;;;;;;;;;;;;;;;;;;;;;;
Nye et al. (2004);PE;0;More than 3 years;Math;reading;;;;K : n.a;0, G1 : 0;0, G2 : 0;+, G3 :;;;;;;;;0.189;0.142;NA;NA
;;;;;;;;;10;;;;;;;;;;;;;;
Carrell and West (2010);HE;I;Novice vs experienced;Contemp. courses;follow on courses;;;;-;+;;;;;;;;;;-0.690;0.700;NA;NA
Hanushek (1992);PE;I;Linear;Reading;vocabulary;;;;+;+;;;;;;;;;;0;0;NA;NA
Murnane and Phillips (1981);PE;I;<8, ≥8< 15, ≥15 years;Vocabulary;;;;;+, -,+;;;;;;;;;;;0;0;NA;NA
Papay and Kraft (2015);PE/SE;II;Linear and categories;Math;reading;;;;+;+;;;;;;;;;;0.132;0.058;NA;NA
Harris and Sass (2011);PE/SE;II;Categories : 1-2, 3-4, 5-9, 10-14, 15-24,;Math;reading;;;;El : +;+, +;+, 0;+, 0;+, 0;+, 0;"+;";;;;;0.160;−0.160;NA;NA
;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;
Clotfelter et al. (2010);SE;II;1-2 years, 3-5 years, 4 more categories (ref. 0 years);WSBS : Math;English;biology;ELP;;+, +, 0;;;;;;;;;;;0.061;0.062;0;0
Kukla-Acevedo (2009);PE;II;Interaction experience and teacher GPA;Math;;;;;+;;;;;;;;;;;0;NA;NA;NA
Boyd et al. (2008);PE/SE;II;1st 3-5 years;Math;;;;;+;;;;;;;;;;;0.060;NA;NA;NA
Clotfelter et al. (2007);PE;II;To 27 years, half in 1st 2;Math;reading;;;;+;+;;;;;;;;;;0.092;0.118;NA;NA
Aaronson et al. (2007);SE;II;Linear;Math;;;;;0;;;;;;;;;;;0;NA;NA;NA
Croninger et al. (2007);PE;II;0-2 years, 5+ years (ref. 2006, 2008, 2014 years);Math;reading;;;;0;-, 0;0;;;;;;;;;0.055;NA;NA;NA
Boyd et al. (2006);PE/SE;11;2 years vs 1, 3 years vs 2, 4+ years vs 3;Math;ELA;;;;+;+, +;+, 0;0;;;;;;;;0.076;0.047;0.030;0.018
Clotfelter et al. (2006);PE;II;To 27 years, half in 1st 2;Math;reading;;;;+;+;;;;;;;;;;0.100;0.080;NA;NA
Jepsen (2005);PE;II;Linear;Math;reading;;;;01:00;0 3 : +;+;;;;;;;;;0.021;0.020;NA;NA
Rockoff (2004);PE;II;1st 2 years, linear;Math;reading;;;;+10, +;+;;;;;;;;;;0.180;NA;NA;NA
Muñoz and Chang (2007);SE;III;Linear;Reading;;;;;0;;;;;;;;;;;0;NA;NA;NA
Goldhaber and Brewer (2000);SE;III;Linear;Math;science;;;;0;+;;;;;;;;;;0;0;NA;NA
Monk (1994);SE;III;Linear;Math;science;;;;10:00;0 11 : +;−;;;;;;;;;0;0;NA;NA
Bosshardt and Watts (1990);SE;III;Linear;Other;econ.;;;;-;-;;;;;;;;;;0;0;NA;NA
Summers and Wolfe (1977);PE;III;Linear;General;;;;;+;-;;;;;;;;;;0;NA;NA;NA
Ladd and Sorensen (2015b);PE/SE;II;Categories;Math;ELA;;;;+;+;;;;;;;;;;0.185;0.104;NA;NA
Betts et al. (2003) ;PE/SE SE;III III;Novice vs experienced ;Math;reading;;;;0 0;0;0;0;;;;;;;;0;NA;NA;NA
Goldhaber and Brewer (1996);;;Linear;math;science;English;history;;;;;;;;;;;;;0;0;0;0
